date,value
2009-11,500
2009-12,600
2010-1,500
2010-2,500
2010-3,500
2010-4,500
2010-5,500
2010-6,
2010-7,
,
,
,
2011-11,
2011-12,
2012-1,
2012-02,
2012-3,
2012-4,
2012-5,
2012-06,
2012-7,
2012-8,1530
2012-09,
2012-10,1730
2012-11,
2012-12,
2013-01,
2013-2,
2013-3,
2013-04,
2013-5,
2013-06,
2013-7,
2013-8,
2013-9,
2013-10,2162
2013-11,2162
2013-12,2162
2014-1,2162
2014-02,2162
2014-3,2162
2014-4,2162
2014-5,2162
2014-06,2162
2014-7,2162
2014-08,2162
2014-9,2162
2014-10,2162
2014-11,2162
2014-12,2906
2015-1,2906
2015-2,2906
2015-3,2906
2015-04,2906
2015-5,2906
2015-06,2906
2015-7,2906
2015-08,2906
2015-9,2906
2015-10,2906
2015-11,2906
2015-12,2906
2016-1,2906
2016-02,2906
2016-3,2906
2016-04,2906
2016-5,2906
2016-06,2906
2016-7,2906
2016-8,3197
2016-9,3197
2016-10,3197
2016-11,3197
2016-12,3197
2017-01,3197
2017-2,3197
2017-03,3197
2017-4,3357
2017-05,3357
2017-6,3357
2017-7,3357
2017-8,3357
2017-9,3357
2017-10,3357
2017-11,3357
2017-12,3357
2018-1,3357
2018-02,3357
2018-3,3357
2018-04,3357
2018-5,3693
2018-6,3693
2018-7,3693
2018-8,3693
2018-09,3693
2018-10,3693
2018-11,3693
2018-12,3693
2019-01,3693
2019-2,3693
2019-3,3693
2019-4,3693
2019-5,3693
2019-06,3693
2019-7,3693
2019-08,3693
2019-9,3693
2019-10,3693
2019-11,3693
2019-12,3693
2020-01,3693
2020-2,3693
2020-03,3693
2020-4,3693
2020-05,3693
2020-6,3693
2020-7,3693
2020-08,3693
2020-9,3693
2020-10,3693
2020-11,3693
2020-12,3693
2021-1,3693
2021-2,3693
2021-03,3693
2021-4,3693
2021-05,3693
2021-6,3693
2021-07,3693
2021-8,3693
2021-09,4950
2021-10,4950
2021-11,4950
2021-12,4950
2022-01,4950
2022-2,4950
2022-3,4950
2022-04,4950
2022-5,4950
2022-6,4950
2022-07,4950
2022-8,4950
2022-09,4950
2022-10,4950
2022-11,4950
2022-12,5500
2023-01,5500
2023-2,5500
2023-3,5500
2023-04,5500
2023-5,5500
2023-06,5500
2023-7,5500
2023-08,5500
2023-9,5500
2023-10,5500
2023-11,5500
2023-12,5500
2024-01,5500
2024-2,5500
2024-03,5500
2024-4,5500
2024-5,5500
2024-6,5500
2024-07,5500
2024-8,5500
2024-09,5500
2024-10,5500
2024-11,5500
2024-12,5500
2025-01,5500
2025-2,6200
2025-3,6200
2025-04,6200
2025-5,6200
2025-6,6200
2025-7,6200
2025-08,6200
2025-9,6200
2025-10,6200
2025-11,6200
2025-12,6200